timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250824_221024,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,3,0.2,0.0065477068006591,"""{0.0: 0.0112652567977463, 9.0: 0.01252540556419604, 18.0: 0.008812504269175183, 24.0: 0.008011859550819352, 33.0: 0.015430086663592682, 47.0: 0.003173499319081147, 51.0: 0.005878737056957394, 60.0: 0.0023906063329444628, 69.0: 0.003035269990407264, 79.0: 0.002097074565554327, 81.0: 0.002739205137641261, 83.0: 0.006234646997434283, 85.0: 0.003526036163019237}"""
20250824_221137,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,3,0.3,0.0050362484399666,"""{0.0: 0.010626791476915903, 9.0: 0.01151777859632001, 18.0: 0.00928061499860071, 24.0: 0.0028977425774601626, 33.0: 0.011728913952711322, 47.0: 0.0015151267171492544, 51.0: 0.003724081137033568, 60.0: 0.0009061673278859587, 69.0: 0.002156505848399819, 79.0: 0.0012974824962085434, 81.0: 0.0025930836599124926, 83.0: 0.0027511654078811, 85.0: 0.004475775523087431}"""
20250824_221430,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,5,0.3,0.0039486287426833,"""{0.0: 0.009807508471842122, 9.0: 0.010975929351495071, 18.0: 0.005659306302796016, 24.0: 0.001543674175662943, 33.0: 0.008559466465641567, 47.0: 0.000814682754159789, 51.0: 0.0023287280271287983, 60.0: 0.0009915561201005575, 69.0: 0.0015015880363734321, 79.0: 0.00091420959707727, 81.0: 0.001413535560799317, 83.0: 0.0023750511983931907, 85.0: 0.004446937593413677}"""
20250824_221452,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.1,30,5,0.2,0.0059640704936352,"""{0.0: 0.010412439785367367, 9.0: 0.012735684481479702, 18.0: 0.007313087853213511, 24.0: 0.0054754037749444135, 33.0: 0.016887055281980475, 47.0: 0.0020135205880538066, 51.0: 0.006301937257372177, 60.0: 0.0019725250235593057, 69.0: 0.00196319338162171, 79.0: 0.0015718792661710583, 81.0: 0.002427811491783104, 83.0: 0.0038869167087145513, 85.0: 0.004571461522997553}"""
20250824_221727,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,3,0.3,0.0051229698345331,"""{0.0: 0.008436414877780485, 9.0: 0.01133243947392602, 18.0: 0.004572285687589587, 24.0: 0.004821913286294369, 33.0: 0.013122019282663308, 47.0: 0.0022368682716494086, 51.0: 0.004839382321818436, 60.0: 0.0015815347219658824, 69.0: 0.002450189609485341, 79.0: 0.0035601423381021228, 81.0: 0.0020028019258007588, 83.0: 0.002363658912547962, 85.0: 0.005278957139307859}"""
20250824_221755,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.3,0.0047042209431687,"""{0.0: 0.011490070939175536, 9.0: 0.012268454292113883, 18.0: 0.0055808571742915775, 24.0: 0.0029286694252219146, 33.0: 0.009497277980213768, 47.0: 0.0028180862307450004, 51.0: 0.0032715235395620944, 60.0: 0.0016861280488216436, 69.0: 0.00188299046764904, 79.0: 0.0005668645682868588, 81.0: 0.002068978614970794, 83.0: 0.002619468565176763, 85.0: 0.004475502414964623}"""
20250824_221809,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,5,0.1,0.0041592129490856,"""{0.0: 0.011340577136835967, 9.0: 0.006460577595920703, 18.0: 0.005907347510040642, 24.0: 0.0015079060580990029, 33.0: 0.011452955695588653, 47.0: 0.0017064890021402585, 51.0: 0.0030539759019457113, 60.0: 0.001036924018435988, 69.0: 0.0015348594261698507, 79.0: 0.001022018372282503, 81.0: 0.0015756504296513176, 83.0: 0.0024644595502119285, 85.0: 0.005006027640791023}"""
20250824_221941,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.3,30,5,0.3,0.0128564561310398,"""{0.0: 0.014811958466754637, 9.0: 0.017287895685046704, 18.0: 0.022724736339690844, 24.0: 0.016206618337041803, 33.0: 0.017153549166722373, 47.0: 0.008685448693853315, 51.0: 0.011155208125047729, 60.0: 0.0048925003629104935, 69.0: 0.005864846222683042, 79.0: 0.02024806964421773, 81.0: 0.005108487782427989, 83.0: 0.02028327851869572, 85.0: 0.0027113323584258605}"""
20250824_221954,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,128,0.05,0.05,30,3,0.3,0.0035828037937353,"""{0.0: 0.008407980496611931, 9.0: 0.010066695197139328, 18.0: 0.004543387121526156, 24.0: 0.0017729732689871463, 33.0: 0.006358307043955691, 47.0: 0.0022566728731434494, 51.0: 0.0022189505002099402, 60.0: 0.0009361352540988699, 69.0: 0.0016676618778783039, 79.0: 0.001069429868498104, 81.0: 0.001038572741497222, 83.0: 0.00243976041141188, 85.0: 0.0037999226636013517}"""
20250824_222153,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.3,30,3,0.2,0.0111457897433038,"""{0.0: 0.019383789916114592, 9.0: 0.019087410284939463, 18.0: 0.015715742580247175, 24.0: 0.012769272704762162, 33.0: 0.017494259232281387, 47.0: 0.008336273044734378, 51.0: 0.013684204176294464, 60.0: 0.0037527789151192014, 69.0: 0.004442849850138589, 79.0: 0.005086342129107561, 81.0: 0.00719587739266105, 83.0: 0.01531445009720638, 85.0: 0.002632016339343405}"""
20250824_222201,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,4,0.3,0.0041294821196602,"""{0.0: 0.011563944206391652, 9.0: 0.009774421492970996, 18.0: 0.0044191377891577175, 24.0: 0.0021909223240051323, 33.0: 0.007692123458291937, 47.0: 0.002446470368350692, 51.0: 0.0025030782347472322, 60.0: 0.0008530099662725275, 69.0: 0.0015863586267910758, 79.0: 0.0016443866972274141, 81.0: 0.0022343302459518705, 83.0: 0.0025736010781133582, 85.0: 0.004201483067311366}"""
20250824_222225,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,4,0.3,0.0047628058054945,"""{0.0: 0.008603314032091507, 9.0: 0.017887856824832262, 18.0: 0.006197134142822641, 24.0: 0.0027281966016888953, 33.0: 0.0073255425535851525, 47.0: 0.0011607841255172368, 51.0: 0.0032131617978705916, 60.0: 0.0010140318927092627, 69.0: 0.0017298305323916238, 79.0: 0.0021168988217284634, 81.0: 0.002895943409176949, 83.0: 0.0023416488238665657, 85.0: 0.0047021319131484015}"""
20250824_222255,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.3,30,3,0.3,0.0080889412189505,"""{0.0: 0.011852168001012882, 9.0: 0.015615513785882225, 18.0: 0.012925690183200408, 24.0: 0.008112245814161203, 33.0: 0.017523946311166733, 47.0: 0.00464874339207804, 51.0: 0.012864631544932533, 60.0: 0.001871358822474055, 69.0: 0.004088249306559278, 79.0: 0.0029937689035507264, 81.0: 0.00573123413067055, 83.0: 0.003223630311636521, 85.0: 0.0037050553390322654}"""
20250824_222306,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.3,30,5,0.3,0.0085112995202539,"""{0.0: 0.011839466036422086, 9.0: 0.014519196524141941, 18.0: 0.015298998647963106, 24.0: 0.009211636883377295, 33.0: 0.016504313886788743, 47.0: 0.0051930224673518875, 51.0: 0.012704042855730225, 60.0: 0.002103725101490335, 69.0: 0.0036873249118158364, 79.0: 0.004162972218461893, 81.0: 0.004300958031601628, 83.0: 0.007594194039898302, 85.0: 0.0035270421582584647}"""
