timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250825_122122,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,3,0.3,0.0066739005897887,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.04297225562641006, '2,2,2-Trifluoroethanol': 0.015310714151106176, '2-Methyltetrahydrofuran [2-MeTHF]': 0.003915523147840402, 'Acetonitrile': 0.005602441927044554, 'Acetonitrile.Acetic Acid': 0.020495763623439203, 'Butanone [MEK]': 0.002258887791173605, 'Cyclohexane': 0.005018105921597598, 'DMA [N,N-Dimethylacetamide]': 0.0018684629527283899, 'Decanol': 0.004277548189037996, 'Diethyl Ether [Ether]': 0.0030605206296470556, 'Dihydrolevoglucosenone (Cyrene)': 0.00913255806371958, 'Dimethyl Carbonate': 0.004558017167166001, 'Ethanol': 0.005395128368203804, 'Ethyl Acetate': 0.001126799443184804, 'Ethyl Lactate': 0.003068922714157604, 'Ethylene Glycol [1,2-Ethanediol]': 0.0015432684986115368, 'IPA [Propan-2-ol]': 0.010490344748614794, 'MTBE [tert-Butylmethylether]': 0.0027294775792894594, 'Methanol': 0.005794428279808558, 'Methyl Propionate': 0.004029717283921527, 'THF [Tetrahydrofuran]': 0.0015455222398859244, 'Water.2,2,2-Trifluoroethanol': 0.0014451447396278284, 'Water.Acetonitrile': 0.004124898088770302, 'tert-Butanol [2-Methylpropan-2-ol]': 0.00040916297994210893}"""
20250825_122335,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,3,0.2,0.0063491412061856,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.04335949588077606, '2,2,2-Trifluoroethanol': 0.020561747572574143, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0035026248355724023, 'Acetonitrile': 0.00457543028688358, 'Acetonitrile.Acetic Acid': 0.018408284192315803, 'Butanone [MEK]': 0.003505443513648656, 'Cyclohexane': 0.0016546740959372623, 'DMA [N,N-Dimethylacetamide]': 0.0024077562669197975, 'Decanol': 0.005024567238134373, 'Diethyl Ether [Ether]': 0.004191763824245791, 'Dihydrolevoglucosenone (Cyrene)': 0.0015824827366557673, 'Dimethyl Carbonate': 0.0036498739387716924, 'Ethanol': 0.003597088734649271, 'Ethyl Acetate': 0.0007696484732561786, 'Ethyl Lactate': 0.0043391725873087, 'Ethylene Glycol [1,2-Ethanediol]': 0.002446960659926008, 'IPA [Propan-2-ol]': 0.010978502248507679, 'MTBE [tert-Butylmethylether]': 0.0011089453590423922, 'Methanol': 0.004813445911986138, 'Methyl Propionate': 0.0037835361176211677, 'THF [Tetrahydrofuran]': 0.0017788680321589605, 'Water.2,2,2-Trifluoroethanol': 0.0013852779422994172, 'Water.Acetonitrile': 0.0036668844146611162, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0012869140846035584}"""
20250825_122555,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.3,0.0060887325997056,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.043314206466908124, '2,2,2-Trifluoroethanol': 0.014358779598499042, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0023399013320148927, 'Acetonitrile': 0.004681377109293342, 'Acetonitrile.Acetic Acid': 0.018226951911705907, 'Butanone [MEK]': 0.0032429862355657047, 'Cyclohexane': 0.005699325641892292, 'DMA [N,N-Dimethylacetamide]': 0.0020129619717456316, 'Decanol': 0.0048157624700860685, 'Diethyl Ether [Ether]': 0.0035068470615089086, 'Dihydrolevoglucosenone (Cyrene)': 0.0027938703787817754, 'Dimethyl Carbonate': 0.004001608061574191, 'Ethanol': 0.0027887843740935707, 'Ethyl Acetate': 0.0012856937909018157, 'Ethyl Lactate': 0.0012631154662639944, 'Ethylene Glycol [1,2-Ethanediol]': 0.0009165453016993935, 'IPA [Propan-2-ol]': 0.010425692830164956, 'MTBE [tert-Butylmethylether]': 0.001789960681055921, 'Methanol': 0.006219690377332495, 'Methyl Propionate': 0.003680060375573726, 'THF [Tetrahydrofuran]': 0.003175831957286652, 'Water.2,2,2-Trifluoroethanol': 0.0012578794080517226, 'Water.Acetonitrile': 0.0033813287015161306, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0009504208894188116}"""
20250825_122654,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,4,0.3,0.0058898954284078,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.04358989015101682, '2,2,2-Trifluoroethanol': 0.01566558296303613, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0011274826340594239, 'Acetonitrile': 0.004227124227049706, 'Acetonitrile.Acetic Acid': 0.02150841583176556, 'Butanone [MEK]': 0.0029474672621987263, 'Cyclohexane': 0.0029991092470373934, 'DMA [N,N-Dimethylacetamide]': 0.0012674424384653137, 'Decanol': 0.003150487097769856, 'Diethyl Ether [Ether]': 0.0016978473081627266, 'Dihydrolevoglucosenone (Cyrene)': 0.005456493610253421, 'Dimethyl Carbonate': 0.005407910759503248, 'Ethanol': 0.003890539029775405, 'Ethyl Acetate': 0.0011063875791089048, 'Ethyl Lactate': 0.0038631916700794106, 'Ethylene Glycol [1,2-Ethanediol]': 0.0011306572997540653, 'IPA [Propan-2-ol]': 0.009695635949152554, 'MTBE [tert-Butylmethylether]': 0.0012248358085013094, 'Methanol': 0.002718289572759003, 'Methyl Propionate': 0.0031630120209300136, 'THF [Tetrahydrofuran]': 0.0010246475968714158, 'Water.2,2,2-Trifluoroethanol': 0.000941796013223495, 'Water.Acetonitrile': 0.0028651996885896243, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0006880445227255726}"""
20250825_122715,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,5,0.3,0.0061318921239232,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05077434175158529, '2,2,2-Trifluoroethanol': 0.020295803448793833, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0011195418538890267, 'Acetonitrile': 0.003392701455330232, 'Acetonitrile.Acetic Acid': 0.018432432292135432, 'Butanone [MEK]': 0.004447826333389287, 'Cyclohexane': 0.0057745027745270345, 'DMA [N,N-Dimethylacetamide]': 0.000867919296078923, 'Decanol': 0.0021707739883141605, 'Diethyl Ether [Ether]': 0.0029780351427584452, 'Dihydrolevoglucosenone (Cyrene)': 0.0030656210090630447, 'Dimethyl Carbonate': 0.0035190020090667814, 'Ethanol': 0.003805298985074082, 'Ethyl Acetate': 0.0016542227100287065, 'Ethyl Lactate': 0.002646665000689198, 'Ethylene Glycol [1,2-Ethanediol]': 0.0008299774367286384, 'IPA [Propan-2-ol]': 0.010466538858235603, 'MTBE [tert-Butylmethylether]': 0.0008764446503579523, 'Methanol': 0.0026698791680719396, 'Methyl Propionate': 0.0029562097677110276, 'THF [Tetrahydrofuran]': 0.0007079753202690231, 'Water.2,2,2-Trifluoroethanol': 0.0006388469261319099, 'Water.Acetonitrile': 0.0026531251188475703, 'tert-Butanol [2-Methylpropan-2-ol]': 0.00042172567708056194}"""
20250825_122918,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,5,0.2,0.0059306477161163,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.047646025132659926, '2,2,2-Trifluoroethanol': 0.016792970751341476, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0009779961614570733, 'Acetonitrile': 0.004084348158345891, 'Acetonitrile.Acetic Acid': 0.021099805117729804, 'Butanone [MEK]': 0.0019743939608803497, 'Cyclohexane': 0.003479218624883325, 'DMA [N,N-Dimethylacetamide]': 0.0014091695001189205, 'Decanol': 0.0021336264431787016, 'Diethyl Ether [Ether]': 0.0025033153955280746, 'Dihydrolevoglucosenone (Cyrene)': 0.0037959379245538494, 'Dimethyl Carbonate': 0.005200609817091364, 'Ethanol': 0.0029764687880918426, 'Ethyl Acetate': 0.0015114491486141564, 'Ethyl Lactate': 0.001856662359163899, 'Ethylene Glycol [1,2-Ethanediol]': 0.0007537150110996818, 'IPA [Propan-2-ol]': 0.00954380985745267, 'MTBE [tert-Butylmethylether]': 0.0008686909644470392, 'Methanol': 0.00225781339035744, 'Methyl Propionate': 0.006276640216671716, 'THF [Tetrahydrofuran]': 0.0006758503789405699, 'Water.2,2,2-Trifluoroethanol': 0.0005825233789270589, 'Water.Acetonitrile': 0.0033049863698938974, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0006295183353635791}"""
20250825_122954,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.2,0.0061837546804523,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.045771305496866574, '2,2,2-Trifluoroethanol': 0.016868094080482402, '2-Methyltetrahydrofuran [2-MeTHF]': 0.001669068830079935, 'Acetonitrile': 0.00453980496154767, 'Acetonitrile.Acetic Acid': 0.022114502747742685, 'Butanone [MEK]': 0.0035733590931216574, 'Cyclohexane': 0.004054858544199822, 'DMA [N,N-Dimethylacetamide]': 0.0011150130662708813, 'Decanol': 0.002984072449830936, 'Diethyl Ether [Ether]': 0.003127535849269515, 'Dihydrolevoglucosenone (Cyrene)': 0.0038223651108920793, 'Dimethyl Carbonate': 0.0035902931969263524, 'Ethanol': 0.0032692835202214996, 'Ethyl Acetate': 0.001159116949518871, 'Ethyl Lactate': 0.0028349790766879924, 'Ethylene Glycol [1,2-Ethanediol]': 0.0014578030631790275, 'IPA [Propan-2-ol]': 0.009922134574579475, 'MTBE [tert-Butylmethylether]': 0.000672147932115843, 'Methanol': 0.0028124462439466174, 'Methyl Propionate': 0.00719381207574803, 'THF [Tetrahydrofuran]': 0.000806146644163439, 'Water.2,2,2-Trifluoroethanol': 0.0008124195091935904, 'Water.Acetonitrile': 0.0031220574443518293, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0011174918699197241}"""
20250825_122957,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,3,0.3,0.0063113992917258,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05178401833140397, '2,2,2-Trifluoroethanol': 0.016551385753838625, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0010911605695261392, 'Acetonitrile': 0.0035471723701998733, 'Acetonitrile.Acetic Acid': 0.020943201425499866, 'Butanone [MEK]': 0.0024207457370955246, 'Cyclohexane': 0.003547441715957116, 'DMA [N,N-Dimethylacetamide]': 0.0016341367341490432, 'Decanol': 0.004258223388349021, 'Diethyl Ether [Ether]': 0.00361443047561619, 'Dihydrolevoglucosenone (Cyrene)': 0.0018800953905131553, 'Dimethyl Carbonate': 0.0031672928558301536, 'Ethanol': 0.003704009298886945, 'Ethyl Acetate': 0.0016212337752076718, 'Ethyl Lactate': 0.0031437722124089836, 'Ethylene Glycol [1,2-Ethanediol]': 0.0011671012100482846, 'IPA [Propan-2-ol]': 0.009683446755431003, 'MTBE [tert-Butylmethylether]': 0.0010128816546692376, 'Methanol': 0.004260775169369721, 'Methyl Propionate': 0.00323779994603762, 'THF [Tetrahydrofuran]': 0.004720422578993375, 'Water.2,2,2-Trifluoroethanol': 0.0009671247581756121, 'Water.Acetonitrile': 0.0022615675250115008, 'tert-Butanol [2-Methylpropan-2-ol]': 0.001254143369201987}"""
20250825_123022,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.1,0.0056572290945346,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.043926277994673156, '2,2,2-Trifluoroethanol': 0.01894113998772969, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0012875507491869407, 'Acetonitrile': 0.004014741014064695, 'Acetonitrile.Acetic Acid': 0.01929897689510192, 'Butanone [MEK]': 0.0022779070332328414, 'Cyclohexane': 0.0019959658505245338, 'DMA [N,N-Dimethylacetamide]': 0.0013296018981924778, 'Decanol': 0.0026369870999499597, 'Diethyl Ether [Ether]': 0.0019362709265968582, 'Dihydrolevoglucosenone (Cyrene)': 0.002741336461224519, 'Dimethyl Carbonate': 0.0045620301751970104, 'Ethanol': 0.0028781234998656005, 'Ethyl Acetate': 0.0011744825309408105, 'Ethyl Lactate': 0.0023905154091413664, 'Ethylene Glycol [1,2-Ethanediol]': 0.0006245599481305003, 'IPA [Propan-2-ol]': 0.009528735584685063, 'MTBE [tert-Butylmethylether]': 0.0012006004449172832, 'Methanol': 0.0033544504527642763, 'Methyl Propionate': 0.005217805859612875, 'THF [Tetrahydrofuran]': 0.0005281318545251269, 'Water.2,2,2-Trifluoroethanol': 0.000744737178864868, 'Water.Acetonitrile': 0.002508249907726106, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0006743195119835817}"""
20250825_123033,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,4,0.2,0.0062684030567448,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.045012529489520135, '2,2,2-Trifluoroethanol': 0.015461772521074736, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0016637284187942059, 'Acetonitrile': 0.00553311089651458, 'Acetonitrile.Acetic Acid': 0.019658777067959165, 'Butanone [MEK]': 0.002907613001332859, 'Cyclohexane': 0.004274512859072412, 'DMA [N,N-Dimethylacetamide]': 0.0012697574678373388, 'Decanol': 0.0021126790373815797, 'Diethyl Ether [Ether]': 0.005362458176926297, 'Dihydrolevoglucosenone (Cyrene)': 0.00590322698166861, 'Dimethyl Carbonate': 0.0055073360573849525, 'Ethanol': 0.0029805933987386264, 'Ethyl Acetate': 0.0012726290571342309, 'Ethyl Lactate': 0.002446295090953671, 'Ethylene Glycol [1,2-Ethanediol]': 0.0009590691749986224, 'IPA [Propan-2-ol]': 0.008174822222400055, 'MTBE [tert-Butylmethylether]': 0.0011890321272877606, 'Methanol': 0.004320772166861122, 'Methyl Propionate': 0.006709661913459033, 'THF [Tetrahydrofuran]': 0.003090246596140145, 'Water.2,2,2-Trifluoroethanol': 0.0013289696167188437, 'Water.Acetonitrile': 0.002759584497764461, 'tert-Butanol [2-Methylpropan-2-ol]': 0.000542495523953559}"""
