timestamp,pretrained_model_path,spange_path,nn_size,dropout_fp,dropout_nn,epochs,hidden_factor,val_percent,avg_mse,mse_per_solvent
20250824_170548,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,5,0.1,0.0055287240192275,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05653200940670282, '2,2,2-Trifluoroethanol': 0.015700798894236746, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0008627024686890679, 'Acetonitrile': 0.0021107026912125016, 'Acetonitrile.Acetic Acid': 0.018774133478794593, 'Butanone [MEK]': 0.002879795743632361, 'Cyclohexane': 0.0006033562699625114, 'DMA [N,N-Dimethylacetamide]': 0.0011171596351083446, 'Decanol': 0.0022020580616239705, 'Diethyl Ether [Ether]': 0.005311546410860995, 'Dihydrolevoglucosenone (Cyrene)': 0.0009287504287288535, 'Dimethyl Carbonate': 0.0028679463527698755, 'Ethanol': 0.0014793157959287272, 'Ethyl Acetate': 0.00032665107399725956, 'Ethyl Lactate': 0.002645897762526066, 'Ethylene Glycol [1,2-Ethanediol]': 0.0002653215873333153, 'IPA [Propan-2-ol]': 0.005758718161848771, 'MTBE [tert-Butylmethylether]': 0.00022026078735007672, 'Methanol': 0.0024889812728041607, 'Methyl Propionate': 0.0010521056012064737, 'THF [Tetrahydrofuran]': 0.004783556146942037, 'Water.2,2,2-Trifluoroethanol': 0.0003384607677415462, 'Water.Acetonitrile': 0.0025408928884475615, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0008982547730136713}"""
20250824_170834,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,3,0.1,0.0049726014481476,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.027866334919386414, '2,2,2-Trifluoroethanol': 0.01973244946550663, '2-Methyltetrahydrofuran [2-MeTHF]': 0.004169032858992885, 'Acetonitrile': 0.005077318765815769, 'Acetonitrile.Acetic Acid': 0.021512442375942395, 'Butanone [MEK]': 0.0015989861189471082, 'Cyclohexane': 0.000919995841972384, 'DMA [N,N-Dimethylacetamide]': 0.0025331099975042905, 'Decanol': 0.002688139698077598, 'Diethyl Ether [Ether]': 0.0026429220769121457, 'Dihydrolevoglucosenone (Cyrene)': 0.0018856311038297306, 'Dimethyl Carbonate': 0.004861944970803935, 'Ethanol': 0.001322141776122302, 'Ethyl Acetate': 0.00035382094728200975, 'Ethyl Lactate': 0.0019477009859817155, 'Ethylene Glycol [1,2-Ethanediol]': 0.0008058173311596019, 'IPA [Propan-2-ol]': 0.007656293947858608, 'MTBE [tert-Butylmethylether]': 0.0007259041080882644, 'Methanol': 0.00377777264506346, 'Methyl Propionate': 0.0011529642983453294, 'THF [Tetrahydrofuran]': 0.002773938005410701, 'Water.2,2,2-Trifluoroethanol': 0.0006550571968985778, 'Water.Acetonitrile': 0.0021469507744793564, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0005357645451633487}"""
20250824_170845,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.1,0.0053811578197355,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.03890994667524854, '2,2,2-Trifluoroethanol': 0.019025842144424043, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0029535249968242203, 'Acetonitrile': 0.003520629559682565, 'Acetonitrile.Acetic Acid': 0.022002079572257808, 'Butanone [MEK]': 0.002710067617990135, 'Cyclohexane': 0.0009847041720738557, 'DMA [N,N-Dimethylacetamide]': 0.002355139312479479, 'Decanol': 0.003883983927499119, 'Diethyl Ether [Ether]': 0.002059677787946011, 'Dihydrolevoglucosenone (Cyrene)': 0.0011853153584858486, 'Dimethyl Carbonate': 0.0035087067303742753, 'Ethanol': 0.0022396503123095104, 'Ethyl Acetate': 0.00029498283903210963, 'Ethyl Lactate': 0.001905416824983088, 'Ethylene Glycol [1,2-Ethanediol]': 0.0008509845325509135, 'IPA [Propan-2-ol]': 0.0076014112874568315, 'MTBE [tert-Butylmethylether]': 0.0006825980836995559, 'Methanol': 0.0025045580349902087, 'Methyl Propionate': 0.0018952427221795502, 'THF [Tetrahydrofuran]': 0.0018213336867026763, 'Water.2,2,2-Trifluoroethanol': 0.0014625993979999153, 'Water.Acetonitrile': 0.003943543000366849, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0008458490960953339}"""
20250824_170927,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,3,0.3,0.0061692374812532,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.039688875870246706, '2,2,2-Trifluoroethanol': 0.017595357415734005, '2-Methyltetrahydrofuran [2-MeTHF]': 0.003965168654663796, 'Acetonitrile': 0.005631262969100329, 'Acetonitrile.Acetic Acid': 0.020663219768409045, 'Butanone [MEK]': 0.002078166895584191, 'Cyclohexane': 0.002437014543859258, 'DMA [N,N-Dimethylacetamide]': 0.0019168659806469166, 'Decanol': 0.005272577803714874, 'Diethyl Ether [Ether]': 0.004496832808724525, 'Dihydrolevoglucosenone (Cyrene)': 0.0035524590887126123, 'Dimethyl Carbonate': 0.0036080092181227075, 'Ethanol': 0.0027093006903906526, 'Ethyl Acetate': 0.0005190472581138092, 'Ethyl Lactate': 0.0028891266234966897, 'Ethylene Glycol [1,2-Ethanediol]': 0.002917951073910316, 'IPA [Propan-2-ol]': 0.011255178941841854, 'MTBE [tert-Butylmethylether]': 0.0015757002427777814, 'Methanol': 0.004734034791822875, 'Methyl Propionate': 0.0017562288126075538, 'THF [Tetrahydrofuran]': 0.0010672823787356584, 'Water.2,2,2-Trifluoroethanol': 0.001418155221168077, 'Water.Acetonitrile': 0.0054813948188205406, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0008324876788723182}"""
20250824_171040,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,3,0.1,0.0056122863633071,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.04821539128978636, '2,2,2-Trifluoroethanol': 0.019162894571380547, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0022109710675240766, 'Acetonitrile': 0.0025824552930124854, 'Acetonitrile.Acetic Acid': 0.022899589530134365, 'Butanone [MEK]': 0.0027729964693353837, 'Cyclohexane': 0.002265212836546691, 'DMA [N,N-Dimethylacetamide]': 0.001691527430946755, 'Decanol': 0.004243768588198339, 'Diethyl Ether [Ether]': 0.0037796297981766125, 'Dihydrolevoglucosenone (Cyrene)': 0.002681637407443221, 'Dimethyl Carbonate': 0.004162331940891677, 'Ethanol': 0.0013132512725406711, 'Ethyl Acetate': 0.00040964791821570715, 'Ethyl Lactate': 0.0025546028572206924, 'Ethylene Glycol [1,2-Ethanediol]': 0.00043553436909866885, 'IPA [Propan-2-ol]': 0.005873534234996488, 'MTBE [tert-Butylmethylether]': 0.0004282220854847486, 'Methanol': 0.0024459659599539276, 'Methyl Propionate': 0.0011570268280964953, 'THF [Tetrahydrofuran]': 0.0007750542361789961, 'Water.2,2,2-Trifluoroethanol': 0.0006901071380075116, 'Water.Acetonitrile': 0.0013528777038902355, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0005906418923117925}"""
20250824_171054,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,5,0.2,0.0063350588348953,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05161913482118668, '2,2,2-Trifluoroethanol': 0.02336702594884045, '2-Methyltetrahydrofuran [2-MeTHF]': 0.003822750926841365, 'Acetonitrile': 0.004457476991175027, 'Acetonitrile.Acetic Acid': 0.022777788592259807, 'Butanone [MEK]': 0.003190344316538344, 'Cyclohexane': 0.0010151941445086345, 'DMA [N,N-Dimethylacetamide]': 0.0018072724047182161, 'Decanol': 0.004880618730777136, 'Diethyl Ether [Ether]': 0.004568202191626826, 'Dihydrolevoglucosenone (Cyrene)': 0.0007439001318070263, 'Dimethyl Carbonate': 0.003665188089934528, 'Ethanol': 0.0019153518160772794, 'Ethyl Acetate': 0.0002769437054070875, 'Ethyl Lactate': 0.0020544174715436342, 'Ethylene Glycol [1,2-Ethanediol]': 0.0012443941594408303, 'IPA [Propan-2-ol]': 0.009846903660647737, 'MTBE [tert-Butylmethylether]': 0.0004943787604669579, 'Methanol': 0.0027672212515492275, 'Methyl Propionate': 0.0009483556152223053, 'THF [Tetrahydrofuran]': 0.0022533023072847046, 'Water.2,2,2-Trifluoroethanol': 0.0009372140978364787, 'Water.Acetonitrile': 0.002834900349732184, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0005531315520656171}"""
20250824_171422,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,32,0.05,0.05,30,4,0.2,0.0059872084109869,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.04689946162935131, '2,2,2-Trifluoroethanol': 0.01855926213400452, '2-Methyltetrahydrofuran [2-MeTHF]': 0.004280863591198884, 'Acetonitrile': 0.0054028480021040175, 'Acetonitrile.Acetic Acid': 0.01965053477100654, 'Butanone [MEK]': 0.0018384290335235218, 'Cyclohexane': 0.0013476902614399985, 'DMA [N,N-Dimethylacetamide]': 0.00216413936241983, 'Decanol': 0.0038094226911994603, 'Diethyl Ether [Ether]': 0.0021153685560937456, 'Dihydrolevoglucosenone (Cyrene)': 0.0033729021603847694, 'Dimethyl Carbonate': 0.005171182235651763, 'Ethanol': 0.002169510175792756, 'Ethyl Acetate': 0.0007315686687696672, 'Ethyl Lactate': 0.001851314600299788, 'Ethylene Glycol [1,2-Ethanediol]': 0.000814436884983069, 'IPA [Propan-2-ol]': 0.009356368251605983, 'MTBE [tert-Butylmethylether]': 0.0006090785475494241, 'Methanol': 0.003742971899149843, 'Methyl Propionate': 0.0009088861374220823, 'THF [Tetrahydrofuran]': 0.002346171612299911, 'Water.2,2,2-Trifluoroethanol': 0.002175511636369289, 'Water.Acetonitrile': 0.003753516893250607, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0006215621278170967}"""
20250824_171455,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,5,0.3,0.0058854563946733,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05239861922086158, '2,2,2-Trifluoroethanol': 0.014097854688820221, '2-Methyltetrahydrofuran [2-MeTHF]': 0.002533192993568486, 'Acetonitrile': 0.004735193158026955, 'Acetonitrile.Acetic Acid': 0.01860490511597204, 'Butanone [MEK]': 0.002115701665237927, 'Cyclohexane': 0.002147368467291587, 'DMA [N,N-Dimethylacetamide]': 0.0018018470581493663, 'Decanol': 0.002892846441508338, 'Diethyl Ether [Ether]': 0.0032443492216990446, 'Dihydrolevoglucosenone (Cyrene)': 0.0022257965168317804, 'Dimethyl Carbonate': 0.005821943587165388, 'Ethanol': 0.0018914640310351337, 'Ethyl Acetate': 0.0005482671859691243, 'Ethyl Lactate': 0.0021138480946169417, 'Ethylene Glycol [1,2-Ethanediol]': 0.0014814425937013282, 'IPA [Propan-2-ol]': 0.007716006907947226, 'MTBE [tert-Butylmethylether]': 0.0003475926981438872, 'Methanol': 0.0062620212053979595, 'Methyl Propionate': 0.0023173685337003172, 'THF [Tetrahydrofuran]': 0.0017272037214230629, 'Water.2,2,2-Trifluoroethanol': 0.0006129730148062609, 'Water.Acetonitrile': 0.0028639562495838987, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0007491911007034427}"""
20250824_171751,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.05,30,4,0.2,0.0057715564738778,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.047692440196501235, '2,2,2-Trifluoroethanol': 0.02102590614830902, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0024824822184385527, 'Acetonitrile': 0.0023310464835550946, 'Acetonitrile.Acetic Acid': 0.023678976261842524, 'Butanone [MEK]': 0.0010485307134523538, 'Cyclohexane': 0.0007849462438933487, 'DMA [N,N-Dimethylacetamide]': 0.0010036061678636143, 'Decanol': 0.0019983929276522075, 'Diethyl Ether [Ether]': 0.0026814789315026673, 'Dihydrolevoglucosenone (Cyrene)': 0.0022065358756578023, 'Dimethyl Carbonate': 0.004880215417240991, 'Ethanol': 0.0010168764438881052, 'Ethyl Acetate': 0.0007073402270767667, 'Ethyl Lactate': 0.002015189839126781, 'Ethylene Glycol [1,2-Ethanediol]': 0.0005502504798338766, 'IPA [Propan-2-ol]': 0.00839299950665878, 'MTBE [tert-Butylmethylether]': 0.0005245280552317021, 'Methanol': 0.004429083731768128, 'Methyl Propionate': 0.0023181410723069383, 'THF [Tetrahydrofuran]': 0.002700863612202718, 'Water.2,2,2-Trifluoroethanol': 0.0006028144466140449, 'Water.Acetonitrile': 0.002675308243360988, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0007694021290897165}"""
20250824_172000,val_loss0.1074_DPR_0.1_MP_0.3_DM_64_TL_5_heads_16.pth,spange_melt.csv,64,0.05,0.1,30,3,0.2,0.0063274438762128,"""{'1,1,1,3,3,3-Hexafluoropropan-2-ol': 0.05069114889569717, '2,2,2-Trifluoroethanol': 0.017806446478139216, '2-Methyltetrahydrofuran [2-MeTHF]': 0.0025822864995389753, 'Acetonitrile': 0.0033298210992342998, 'Acetonitrile.Acetic Acid': 0.02183533760747571, 'Butanone [MEK]': 0.0009440036689433596, 'Cyclohexane': 0.0024441417881698787, 'DMA [N,N-Dimethylacetamide]': 0.00334119384092185, 'Decanol': 0.004196478395091402, 'Diethyl Ether [Ether]': 0.004607762674287137, 'Dihydrolevoglucosenone (Cyrene)': 0.00247778555389971, 'Dimethyl Carbonate': 0.0050137184109397045, 'Ethanol': 0.0018622042067185315, 'Ethyl Acetate': 0.0006970988044400816, 'Ethyl Lactate': 0.0036867993026103527, 'Ethylene Glycol [1,2-Ethanediol]': 0.0008562213318721429, 'IPA [Propan-2-ol]': 0.010969347877143197, 'MTBE [tert-Butylmethylether]': 0.0020060830662840872, 'Methanol': 0.0031664205725758002, 'Methyl Propionate': 0.001478311000871882, 'THF [Tetrahydrofuran]': 0.002027181405525677, 'Water.2,2,2-Trifluoroethanol': 0.0012405536263318468, 'Water.Acetonitrile': 0.003787702628332451, 'tert-Butanol [2-Methylpropan-2-ol]': 0.0008106042940648974}"""
