solvent,solvent smiles,ET(30),α,β,π*,SA,SB,SP,SdP,N (mol/cm3),n,f(n),δ
2-methylbutane,CCCC.CCC(C)C,30.9,0,0.01,-0.08,0,0.053,0.581,0,0.00859,1.354,0.21739,13.9
n-pentane,CCCCC,31,0,0,-0.08,0,0.073,0.593,0,0.00873,1.358,0.2196,14.5
3-methylpentane,CCC(C)CC,,,,,0,0.05,0.62,0,0.00766,,,
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,,,0,0.044,0.618,0,0.00604,,,
n-hexane,CCCCCC,31,0,0,-0.04,0,0.056,0.616,0,0.00766,1.375,0.22892,14.9
n-heptane,CCCCCCC,31.1,0,0,-0.08,0,0.083,0.635,0,0.00679,1.387,0.23543,15.2
n-octane,CCCCCCCC,31.1,0,0,0.01,0,0.079,0.65,0,0.00613,1.398,0.24135,15.5
n-nonane,CCCCCCCCC,31,,,,0,0.053,0.66,0,0.00561,1.405,0.2451,15.6
n-decane,CCCCCCCCCC,31,0,0,0.03,0,0.066,0.669,0,0.00513,1.411,0.24829,15.8
n-undecane,CCCCCCCCCCC,,,,,0,0.08,0.678,0,0.00473,,,
n-dodecane,CCCCCCCCCCCC,31.1,0,0,0.05,0,0.086,0.683,0,0.0044,1.422,0.25412,16.1
n-tridecane,CCCCCCCCCCCCC,,,,,0,0.05,0.69,0,0.00412,,,
n-tetradecane,CCCCCCCCCCCCCC,,,,,0,0.05,0.696,0,0.00383,,,
n-pentadecane,CCCCCCCCCCCCCCC,,,,,0,0.068,0.7,0,0.00362,,,
n-hexadecane,CCCCCCCCCCCCCCCC,,,,,0,0.086,0.704,0,0.0034,,,
cyclopentane,C1CCCC1,,,,,0,0.063,0.655,0,0.01055,,,
cyclohexane,C1CCCCC1,30.9,0,0,0,0,0.073,0.683,0,0.00927,1.426,0.25622,16.8
methylcyclohexane,CC1CCCCC1,,,,,0,0.069,0.675,0,0.00784,,,
cycloheptane,C1CCCCCC1,,,,,0,0.05,0.703,0,0.00825,,,
cyclooctane,C1CCCCCCC1,,,,,0,0.068,0.719,0,0.00749,,,
decalin,C1CCC2CCCCC2C1,,,,,0,0.056,0.744,0,0.00629,,,
cis-decalin,[2H]C1CCC[C@H]2[C@@H]1CCCC2,31.2,0,0.08,0.11,0,0.056,0.753,0,0.00651,1.48,0.28408,17.8
benzene,C1=CC=CC=C1,34.3,0,0.1,0.59,0,0.124,0.793,0.27,0.01127,1.501,0.29462,18.8
toluene,CC1=CC=CC=C1,33.9,0,0.11,0.54,0,0.128,0.782,0.284,0.00944,1.493,0.29062,18.2
o-xylene,CC1=CC=CC=C1C,,,,,0,0.157,0.791,0.266,0.00829,1.501,0.29462,18.4
m-xylene,CC1=CC(=CC=C1)C,33.3,0,0.12,0.47,0,0.162,0.771,0.205,0.0081,1.4972,0.29272,18
p-xylene,CC1=CC=C(C=C1)C,33.1,0,0.12,0.43,0,0.16,0.778,0.175,0.0081,1.4958,0.29202,18
ethylbenzene,CCC1=CC=CC=C1,,,,,0,0.138,0.772,0.237,0.00819,1.495,0.29162,18
propylbenzene,CCCC1=CC=CC=C1,,,,,0,0.144,0.767,0.209,0.00716,1.491,0.28962,
butylbenzene,CCCCC1=CC=CC=C1,,,,,0,0.149,0.765,0.176,0.00641,1.489,0.28861,
tert-butylbenzene,CC(C)(C)C1=CC=CC=C1,,,,,0,0.171,0.757,0.182,0.00648,1.492,0.29012,
"1,2,3,5-tetramethylbenzene",CC1=CC(=C(C(=C1)C)C)C,,,,,0,0.186,0.784,0.203,0.00664,,,
mesitylene,CC1=CC(=CC(=C1)C)C,32.9,0,0.13,0.41,0,0.19,0.775,0.155,0.00724,1.499,0.29362,18
1-methylnaphthalene,CC1=CC=CC2=CC=CC=C12,35.3,,,,0,0.156,0.908,0.51,0.00719,1.615,0.34899,20.3
"1,2,3,4-tetrahydronapthalene",c1ccc2c(c1)CCCC2,,,,,0,0.18,0.838,0.182,0.00734,1.541,0.31424,19.6
dichloromethane,C(Cl)Cl,40.7,0.13,0.1,0.82,0.04,0.178,0.761,0.769,0.01566,1.424,0.25517,20.3
chloroform,C(Cl)(Cl)Cl,39.1,0.2,0.1,0.58,0.047,0.071,0.783,0.614,0.0124,1.444,0.26563,18.9
tetrachloromethane,C(Cl)(Cl)(Cl)Cl,32.4,0,0.1,0.28,0,0.044,0.768,0,0.01036,1.46,0.27389,17.6
"1,2-dichloroethane",C(CCl)Cl,41.3,0,0.1,0.81,0.03,0.126,0.771,0.742,0.01263,1.445,0.26615,20.3
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,36.2,0,0,0.49,0,0.085,0.737,0.5,0.01004,1.436,0.26147,17.3
"1,1,2-trichlorotrifluoroethane",C(C(F)(Cl)Cl)(F)(F)Cl,,,,,0,0.038,0.596,0.152,0.00843,,,
"1,1,2,2-tetrachloroethane",C(C(Cl)Cl)(Cl)Cl,39.4,0,0,0.95,0,0.017,0.845,0.792,0.00951,1.494,0.29112,20.2
1-chlorobutane,CCCCCl,36.9,0,0,0.39,0,0.138,0.693,0.529,0.00961,1.402,0.24349,17.2
fluorobenzene,C1=CC=C(C=C1)F,37,0,0.07,0.62,0,0.113,0.761,0.511,0.01072,1.465,0.27645,18.5
chlorobenzene,C1=CC=C(C=C1)Cl,36.8,0,0.07,0.71,0,0.182,0.833,0.537,0.00986,1.524,0.30597,19.4
bromobenzene,C1=CC=C(C=C1)Br,36.6,0,0.06,0.79,0,0.192,0.875,0.497,0.00955,1.558,0.3224,20
"1,2-dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl,38,0,0.03,0.8,0.033,0.144,0.869,0.676,0.00898,1.551,0.31905,20.5
perfluorohexane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,,,,,0,0.057,0.339,0,0.00497,,,
hexafluorobenzene,C1(=C(C(=C(C(=C1F)F)F)F)F)F,34.2,0,0.02,0.33,0,0.119,0.623,0.252,0.00866,1.377,0.23,17
(trifluoromethyl)benzene,C1=CC=C(C=C1)C(F)(F)F,38.5,,,,0.014,0.073,0.694,0.663,0.00813,1.415,0.25042,16.9
1-bromonaphthalene,C1=CC=C2C(=C1)C=CC=C2Br,,,,,0,0.202,0.964,0.669,0.00715,,,
tetrahydrofuran,C1CCOC1,37.4,0,0.55,0.58,0,0.591,0.714,0.634,0.01234,1.407,0.24616,19
2-methyltetrahydrofuran,CC1CCCO1,36.5,0,0.45,,0,0.584,0.7,0.768,0.00987,1.406,0.24563,
"1,4-dioxane",C1COCCO1,36,0,0.37,0.55,0,0.44,0.737,0.312,0.01169,1.422,0.25412,20.5
diethyl ether,CCOCC,34.5,0,0.47,0.27,0,0.562,0.617,0.385,0.00958,1.353,0.21683,15.4
di-n-propyl ether,CCCOCCC,34,0,0.46,0.27,0,0.666,0.645,0.286,0.00734,1.3809,0.23212,15.6
diisopropyl ether,CC(C)OC(C)C,34.1,0,0.49,0.27,0,0.657,0.625,0.324,0.00705,1.3658,0.22389,14.5
di-n-butyl ether,CCCCOCCCC,33,0,0.46,0.27,0,0.637,0.672,0.175,0.00591,1.3992,0.242,15.8
tert-butyl methyl ether,CC(C)(C)OC,34.7,,,,0,0.567,0.622,0.422,0.00839,1.3664,0.22421,15.2
di-n-hexyl ether,CCCCCCOCCCCCC,,,,,0,0.618,0.681,0.208,0.00424,,,
dibenzyl ether,C1=CC=C(C=C1)COCC2=CC=CC=C2,36.3,0,0.41,0.8,0,0.33,0.877,0.509,0.00525,1.562,0.3243,
anisole,COC1=CC=CC=C1,37.1,0,0.32,0.73,0.084,0.299,0.82,0.543,0.00915,1.516,0.30204,20.2
ethoxybenzene,CCOC1=CC=CC=C1.CCOC1=CC=CC=C1,36.6,0,0.3,0.69,0,0.295,0.81,0.669,0.00792,1.507,0.2976,19.5
