solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
amine,CCCCN(CCCC)CCCC,pi_star,-1.6279981688961642,fn,-0.03666622486208937,SP,-0.43558213067077983,beta,0.6248728461838798,SB,1.4439537271087737,SdP,-1.3247312769119448,SA,-0.5803176151277224,N_mol_cm3,-1.1268046618886192,ET30,-1.3458916555771419,delta,-1.0131875391337632,n,-0.11145871372304868,alpha,-0.5557874682470157
polyhydric_alcohol,CCC(O)CO,SP,-0.03030812327593205,n,0.03140599924065988,SB,0.8285329874995072,ET30,1.5041773296625405,delta,,SdP,0.9034952570844313,pi_star,,beta,,fn,0.08625456346045071,alpha,,N_mol_cm3,0.2957226463045265,SA,1.5673091458134507
alkane,[2H]C1CCC[C@@H]2CCCC[C@H]12,SA,-0.5803176151277224,SB,-1.1963997686342085,alpha,-0.5557874682470157,pi_star,-1.8174298517930487,SP,0.3054903399940847,beta,-1.2073335082376324,n,0.7165072364075415,delta,-0.6019147959758719,SdP,-1.5013410418257924,ET30,-1.471016635416933,N_mol_cm3,-0.6594028320537283,fn,0.6655855832066764
ester,CCCOC=O,pi_star,,beta,,alpha,,N_mol_cm3,0.11689064184595985,fn,,SB,0.43479606269572924,SP,-0.6903257924618258,delta,,ET30,,n,,SdP,0.3618919780152991,SA,-0.5803176151277224
halohydrocarbon,CC(Cl)(Cl)Cl,SP,0.12022222232786856,beta,-1.478771486670449,n,0.0021836715889915668,pi_star,-0.3777490617767282,N_mol_cm3,0.0579573676493866,SB,-1.100447072673624,alpha,-0.5557874682470157,SdP,-0.029593000877062948,ET30,-0.7758778585292051,delta,-0.7047329817653448,SA,-0.5803176151277224,fn,0.06140318669089284
amine,CN1CCCCC1,SP,-0.2155762409421482,fn,,pi_star,,ET30,,SdP,-1.1598954963256871,alpha,,N_mol_cm3,-0.30173882313659467,beta,,SA,-0.5803176151277224,n,,delta,,SB,1.3843968813401348
monohydric_alcohol,CCCCCCCO,n,-0.1926318460887948,SB,1.635859119029943,SdP,-0.03253649695896041,SP,-0.2387347556504252,SA,0.8114920024779303,beta,,pi_star,,delta,,ET30,0.9341635326146039,alpha,,N_mol_cm3,-0.547632829267124,fn,-0.10694484948997476
halohydrocarbon,Brc1cccc2ccccc12,SP,2.7487136417173073,ET30,,beta,,SA,-0.5803176151277224,SB,-0.7133275751774725,n,,SdP,0.4678578369636077,pi_star,,fn,,N_mol_cm3,-0.5293431924474978,alpha,,delta,
halohydrocarbon,FC(F)(F)c1ccccc1,N_mol_cm3,-0.3301893693004575,SA,-0.5157966394771293,fn,-0.23387392438824936,beta,,SdP,0.4501968604722229,ET30,-0.4561140211608509,alpha,,n,-0.33874348434713275,pi_star,,delta,-0.7869875303969235,SP,-0.3776858439000873,SB,-1.1401516365193831
monohydric_alcohol,CCCCCCCCCO,n,-0.04652020783045322,beta,,ET30,0.8368441038503217,SdP,-0.23858122269178253,SB,1.6160068371070633,pi_star,,fn,0.019449787198201313,alpha,,N_mol_cm3,-0.813848654086127,SP,-0.11136292475490162,SA,0.6640154867051461,delta,
