solvent,SMILES,ET30,alpha,beta,pi_star,SA,SB,SP,SdP,N_mol_cm3,n,fn,delta
alkane,CCC(C)C.CCCC,-1.5127249620301968,-0.5557874682470157,-1.4448417393663469,-2.5372702468012087,-0.5803176151277224,-1.2063259095956484,-1.6861419249177374,-1.5013410418257924,-0.23670900333347927,-1.3290556992092115,-1.116498628365087,-1.4038966451337602
alkane,CCC(C)CC,,,,,-0.5803176151277224,-1.2162520505570882,-1.2345508881063356,-1.5013410418257924,-0.42570191713628297,,,
alkane,CC(C)CC(C)(C)C,,,,,-0.5803176151277224,-1.2361043324799676,-1.2577094028146127,-1.5013410418257924,-0.7549153798895538,,,
alkane,CCCCCC,-1.498822186492442,-0.5557874682470157,-1.478771486670449,-2.3857249004837016,-0.5803176151277224,-1.1963997686342085,-1.2808679175228896,-1.5013410418257924,-0.42570191713628297,-0.9881285432730873,-0.8083950002435928,-1.1982602735548145
alkane,CCCCCCC,-1.4849194109546873,-0.5557874682470157,-1.478771486670449,-2.5372702468012087,-0.5803176151277224,-1.1070644999812504,-1.060862027794258,-1.5013410418257924,-0.6025017397260025,-0.7933130255953009,-0.6344353628566958,-1.136569362081131
alkane,CCCCCCCC,-1.4849194109546873,-0.5557874682470157,-1.478771486670449,-2.1962932175868173,-0.5803176151277224,-1.1202993545965034,-0.8871731674821804,-1.5013410418257924,-0.7366257430699277,-0.6147321343906652,-0.4762416526676891,-1.0748784506074471
alkane,CCCCCCCCC,-1.498822186492442,,,,-0.5803176151277224,-1.2063259095956484,-0.7713805939407953,-1.5013410418257924,-0.8422992002499898,-0.5010897490786214,-0.376034488274315,-1.0543148134495526
alkane,CCCCCCCCCCC,,,,,-0.5803176151277224,-1.1169906409426902,-0.5629539615663022,-1.5013410418257924,-1.0211312047085568,,,
alkane,CCCCCCCCCCCC,-1.4849194109546873,-0.5557874682470157,-1.478771486670449,-2.0447478712693097,-0.5803176151277224,-1.097138359019811,-0.5050576747956096,-1.5013410418257924,-1.0881932063805193,-0.2251010990350925,-0.13500285552011937,-0.9514966276600795
alkane,CCCCCCCCCCCCC,,,,,-0.5803176151277224,-1.2162520505570882,-0.4240028733166413,-1.5013410418257924,-1.145094298708245,,,
alkane,CCCCCCCCCCCCCC,,,,,-0.5803176151277224,-1.2162520505570882,-0.3545273291918103,-1.5013410418257924,-1.2040275729048184,,,
alkane,CCCCCCCCCCCCCCC,,,,,-0.5803176151277224,-1.1566952047884493,-0.30821029977525627,-1.5013410418257924,-1.2467033921506128,,,
alkane,CCCCCCCCCCCCCCCC,,,,,-0.5803176151277224,-1.097138359019811,-0.26189327035870225,-1.5013410418257924,-1.2914113932652544,,,
alkane,C1CCCC1,,,,,-0.5803176151277224,-1.1732387730575158,-0.8292768807114879,-1.5013410418257924,0.1615986429606015,,,
alkane,C1CCCCC1,-1.5127249620301968,-0.5557874682470157,-1.478771486670449,-2.234179554166194,-0.5803176151277224,-1.1401516365193831,-0.5050576747956096,-1.5013410418257924,-0.09852063625185939,-0.16016259314249706,-0.07888684345983016,-0.8075511675548177
alkane,CC1CCCCC1,,,,,-0.5803176151277224,-1.153386491134636,-0.5976917336287176,-1.5013410418257924,-0.38912264349703074,,,
alkane,C1CCCCCC1,,,,,-0.5803176151277224,-1.2162520505570882,-0.27347252771284075,-1.5013410418257924,-0.3058031868742892,,,
alkane,C1CCCCCCC1,,,,,-0.5803176151277224,-1.1566952047884493,-0.08820441004662459,-1.5013410418257924,-0.46024900890668796,,,
alkane,C1CCC2CCCCC2C1,,,,,-0.5803176151277224,-1.1963997686342085,0.20127702380683812,-1.5013410418257924,-0.7041108331683702,,,
alkane,[2H]C1CCC[C@@H]2CCCC[C@H]12,-1.471016635416933,-0.5557874682470157,-1.2073335082376324,-1.8174298517930487,-0.5803176151277224,-1.1963997686342085,0.3054903399940847,-1.5013410418257924,-0.6594028320537283,0.7165072364075415,0.6655855832066764,-0.6019147959758719
aromatic,c1ccccc1,-1.0400305937465424,-0.5557874682470157,-1.1394740136294281,0.0011143040170403236,-0.5803176151277224,-0.9714072401749069,0.768660634159625,-0.7065970997134784,0.3079157375176108,1.057434392343666,0.9472345199283195,-0.3962784243969263
aromatic,Cc1ccccc1,-1.0956416958975603,-0.5557874682470157,-1.105544266325326,-0.1883173788798437,-0.5803176151277224,-0.9581723855596538,0.6412888032641014,-0.6653881545669141,-0.06397354448145443,0.9275573805584786,0.8403468779087204,-0.5196602473442941
aromatic,Cc1ccccc1C,,,,,-0.5803176151277224,-0.8622196895990691,0.745502119451348,-0.7183710840410683,-0.2976744593988998,1.057434392343666,0.9472345199283195,-0.478532973028505
aromatic,Cc1cccc(C)c1,-1.1790583491240878,-0.5557874682470157,-1.071614519021224,-0.4535217349354819,-0.5803176151277224,-0.8456761213300028,0.5139169723685778,-0.8979243450368134,-0.33628591490699966,0.9957428117457034,0.8964628899690097,-0.5607875216600829
